feature,stable_mean_abs_step,pre_50m_mean_abs_step,pre_200m_mean_abs_step,defect_mean_abs_step,pre_50m_vs_stable_ratio,pre_200m_vs_stable_ratio,defect_vs_stable_ratio
PYRO_3_LST_3_ZONE,1.0674890279769897,3.4138717651367188,1.4867311716079712,0.8259450197219849,3.198039207584536,1.392736723885108,0.7737269405824643
LASER_FRN_3,1.308118462562561,3.803379535675049,1.6440547704696655,0.9724386930465698,2.9075191922789267,1.2568087811015345,0.7433873314054404
TEMP_Z2,0.2627345323562622,0.664360761642456,0.29608216881752014,0.22218021750450134,2.5286389104786484,1.1269252129219134,0.845645281234786
TEMP_Z1,0.2547948658466339,0.5311995148658752,0.3938046097755432,0.21025365591049194,2.0848124749327357,1.5455751373443374,0.8251879613502409
AIR_Z3_1,12.874488830566406,25.285886764526367,19.063884735107422,11.053791046142578,1.9640303469364173,1.4807488659158452,0.8585809651641348
GAS_Z3_2,1.464464783668518,2.5827386379241943,2.0419015884399414,1.3084077835083008,1.7636058352010175,1.3942988668699365,0.8934375193582389
TEMP_Z4,0.3111315071582794,0.4817080795764923,0.2938343286514282,0.21698759496212006,1.5482458976147242,0.9444055709277565,0.6974144050661308
TEMP_Z3,0.3061811029911041,0.42699775099754333,0.33533570170402527,0.25689414143562317,1.3945921117475022,1.095220111326623,0.8390267685562784
TEMP_Z5,0.5023062825202942,0.648776650428772,0.45983585715293884,0.3829061985015869,1.2915957315396709,0.9154491455805364,0.7622962559424423
VENT_2,0.12488231062889099,0.14726251363754272,0.2014620006084442,0.17565973103046417,1.179210353299422,1.6132148708164344,1.4066021852563804
EXT_1,0.30029523372650146,0.3127831816673279,0.4206654131412506,0.3883000910282135,1.0415855682617994,1.4008394602905292,1.293061119251276
VENT_1,0.11975304037332535,0.10395391285419464,0.16118693351745605,0.18833975493907928,0.8680690906061546,1.3459944984692012,1.5727346408236282
