target,display_name,population_rows,positive_rows,positive_rate,logistic_roc_auc,logistic_pr_auc,logistic_lift_top_5pct,logistic_precision_top_5pct,logistic_recall_top_5pct,forest_roc_auc,forest_pr_auc,forest_lift_top_5pct,forest_precision_top_5pct,forest_recall_top_5pct,top_driver_1,top_driver_2,top_driver_3,dominant_system,what_it_captures,why_useful
pre_any_defect_50m,Pre-defect 50m,185684,240,0.001292518472243166,0.7691433741026636,0.0018267950853469257,1.1431154952733251,0.0008220304151253596,0.05714285714285714,0.7974686593117386,0.030550067771514665,1.7146732429099876,0.0012330456226880395,0.08571428571428572,TEMP_Z5,TEMP_Z3,TEMP_Z2,Combustion,"Measurements in the last 50 m before a labeled defect, excluding active defect rows.",Best for near-term intervention when operators need the strongest upstream signal.
pre_any_defect_200m,Pre-defect 200m,185684,733,0.003947566833976002,0.6890705600848437,0.004852769342217962,0.25979897619848297,0.0008220304151253596,0.012987012987012988,0.837223209216531,0.010230608171943278,2.9876882262825544,0.009453349773941636,0.14935064935064934,TEMP_Z3,TEMP_Z1,AIR_Z3_1,Combustion,"Measurements in the broader 200 m run-up before a labeled defect, excluding active defect rows.",Best for earlier monitoring when operations need more lead time.
any_defect,In-defect,287988,102304,0.3552370237648791,0.8343982149762426,0.6759284056547563,2.0403541754735697,0.7284299858557284,0.10200039611804318,0.8927660256819479,0.8050345584327825,2.5133993959620056,0.8973125884016974,0.1256486432957021,TEMP_Z3,TEMP_Z1,TEMP_Z6,Thermal,"Measurements inside the labeled defect region, which mix upstream drivers with failure-state symptoms.",Useful as a contrast target to separate warning signals from symptom signals.
