target,positive_rate,PR-AUC (forest),lift_top_5pct (forest)
any_defect,35.52%,0.805,2.51x
pre_any_defect_200m,0.39%,0.010,2.99x
pre_any_defect_50m,0.13%,0.031,1.71x
defect_type3_any_defect,29.13%,0.764,2.84x
defect_type3_pre_any_defect_50m,0.07%,0.002,0.95x
